key	ENC	END	END-vhv-check	PTL@@DE	PTL@@EN	PTL@@FR	PPR	PED	PC#
tele-40-2-Fan-Viv-1-Flute	Bryan Jacob Bell	13 November 2024	13 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-2-Fan-All-2-Flute	Bryan Jacob Bell	13 November 2024	13 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-3-Fan-Gra-1-Flute	Bryan Jacob Bell	13 November 2024	13 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-3-Fan-Viv-2-Flute	Bryan Jacob Bell	13 November 2024	16 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-3-Fan-Ada-3-Flute	Bryan Jacob Bell	15 November 2024	16 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-3-Fan-All-4-Flute	Bryan Jacob Bell	15 November 2024	16 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-4-Fan-Lar-1-Flute	Bryan Jacob Bell	TODO	TODO	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-4-Fan-All-2-Flute	Bryan Jacob Bell	16 November 2024	16 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-5-Fan-And-1-Flute	Bryan Jacob Bell	16 November 2024	16 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-5-Fan-All-2-Flute	Bryan Jacob Bell	16 November 2024	16 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-5-Fan-Pre-3-Flute	Bryan Jacob Bell	16 November 2024	16 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-6-Fan-Pre-1-Flute	Bryan Jacob Bell	TODO	TODO	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-6-Fan-All-2-Flute	Bryan Jacob Bell	18 November 2024	18 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-6-Fan-All-3-Flute	Bryan Jacob Bell	18 November 2024	18 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-7-Fan-Dol-1-Flute	Bryan Jacob Bell	18 November 2024	18 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-7-Fan-All-2-Flute	Bryan Jacob Bell	18 November 2024	18 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-7-Fan-Spi-3-Flute	Bryan Jacob Bell	18 November 2024	18 November 2024	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-8-Fan-All-1-Flute	Bryan Jacob Bell	TODO	TODO	Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-8-Fan-Pre-2-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-9-Fan-Lar-1-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-9-Fan-Spi-2-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-9-Fan-All-3-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-10-Fan-Aff-1-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-10-Fan-All-2-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-10-Fan-Gra-3-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-10-Fan-Viv-4-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-11-Fan-A_t-1-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-11-Fan-Pre-2-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-11-Fan-Mod-3-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-12-Fan-All-1-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-12-Fan-Ada-2-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
tele-40-12-Fan-All-3-Flute	Bryan Jacob Bell			Zwölf Fantasien für Querflöte ohne Baß	Twelve Fantasias for transverse flute without bass	Douze Fantaisies pour flute traversière sans basse	Bärenreiter	Günter Haußwald	Bärenreiter 2971
