key	COM	CDT	CBL	CDL	CNT	TWV	TWV-genre	TWV-work	OPR	OTL	OMD	OMV	ODT	AST	AGN	AMT	AIN	RTL1	RPN1	RMM1	RC#1	RRD1	RLC1	RDT1	RT#1	RTL2	RPN2	RMM2	RC#2	RRD2	RLC2	RDT2	RT#2	RTL3	RPN3	RMM3	RC#3	RRD3	RLC3	RDT3	RT#3
tele-40-2-Fan-Viv-1-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:2	40	2	12 Fantasias for transverse flute without bass	Fantasia 1	Vivace	1	ca. 1732–1733	Late Baroque	Fantasia	Simple quadruple	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	1	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	1	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	1
tele-40-2-Fan-All-2-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:2	40	2	12 Fantasias for transverse flute without bass	Fantasia 1	Allegro	2	ca. 1732–1733	Late Baroque	Fantasia	Simple triple or Compound one	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	1	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	1	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	1
tele-40-3-Fan-Gra-1-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:3	40	3	12 Fantasias for transverse flute without bass	Fantasia 2	Grave	1	ca. 1732–1733	Late Baroque	Fantasia	Simple triple	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	2	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	2	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	2
tele-40-3-Fan-Viv-2-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:3	40	3	12 Fantasias for transverse flute without bass	Fantasia 2	Vivace	2	ca. 1732–1733	Late Baroque	Fantasia	Simple triple	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	2	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	2	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	2
tele-40-3-Fan-Ada-3-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:3	40	3	12 Fantasias for transverse flute without bass	Fantasia 2	Adagio	3	ca. 1732–1733	Late Baroque	Fantasia	Simple quadruple	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	2	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	2	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	2
tele-40-3-Fan-All-4-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:3	40	3	12 Fantasias for transverse flute without bass	Fantasia 2	Allegro	4	ca. 1732–1733	Late Baroque	Fantasia	Simple duple	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	2	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	2	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	2
tele-40-4-Fan-Lar-1-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:4	40	4	12 Fantasias for transverse flute without bass	Fantasia 3	Largo	1	ca. 1732–1733	Late Baroque	Fantasia	Simple quadruple	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	3	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	3	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	3
tele-40-4-Fan-All-2-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:4	40	4	12 Fantasias for transverse flute without bass	Fantasia 3	Allegro	2	ca. 1732–1733	Late Baroque	Fantasia	Compound duple	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	3	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	3	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	3
tele-40-5-Fan-And-1-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:5	40	5	12 Fantasias for transverse flute without bass	Fantasia 4	Andante	1	ca. 1732–1733	Late Baroque	Fantasia	Simple quadruple	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	4	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	4	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	4
tele-40-5-Fan-All-2-Flute	Telemann, Georg Philipp	1681/03/14-1767/06/25	Magdeburg	Hamburg	German	40:5	40	5	12 Fantasias for transverse flute without bass	Fantasia 4	Allegro	2	ca. 1732–1733	Late Baroque	Fantasia	Simple triple	Transverse flute	G. PH. Telemann: Twelve Fantasias for Flute without Bass TWV 40:2-13	D'Arcangelo, Rita	Da Vinci Classics	DV-C00440	2022	Andreaskirche, Berlin, Germany	16 September 2020, 17 September 2020	4	The Telemann Files: 12 Fantasies for Solo Flute	Choi, Jasmine	Austrian Gramophone	AG0001	February 2015	LeFrak Hall, Queens, USA	9 June 2014, 10 June 2014	4	Georg Philipp Telemann: Twelve Fantasies for Flute	Robertello, Thomas	Delos	DE3396	1 June 2009	Clear Creek Recording, Keene, California	Unknown	4
